AGE,INITIAL HIRE DATE,JOB CATEGORY,EMPLOYEE ANNUAL BASE SALARY,EMPLOYEE HOME DEPARTMENT,PRIMARY WORKING TITLE
56,20-Mar-06,Administrative / Office / Clerical Lead,47245,Northeast District - Pasquotan,COSS Administrative Assistant
53,28-Apr-08,IT Client Support Professional,55083,Technology Support Services,Technology Support Analyst
48,1-Sep-07,"Technical / Creative Design Professional, Multi-media Specialist/Technician",79040,Engineering Online,Asst Director
54,22-Aug-16,"IT Systems Support Professional, Systems Programmer Sr.",105786,Shared Services,Systems Programmer/Specialist
63,27-Apr-07,HR Coordinator,46280,Mechanical & Aerospace Engr,Human Resources Specialist
38,2-Jun-14,IT Applications Professional,126880,Advancement Services,IT Manager II
59,5-May-17,Custodian / Housekeeper,34423,Housekeeping Svcs-Reg2,Building Enviro Tech'n - Shift
50,31-Dec-12,Assoc/Asst Vice Chancellor,215146,University Communications,Asst Vice Chancellor
51,16-Aug-99,"Librarian AC, Head of Reference & Instruction",117892,Libraries,Librarian
62,18-Sep-06,HVAC Mechanic (Journeyman),65876,BM&O-Orig Campus,Facilities Maint Tech - Mechan
58,13-Mar-00,Chief Campus Energy and Utilities Administrator,182000,Energy Systems,Asst Vice Chancellor
52,15-Aug-01,Field Faculty AC,73196,West District - Watauga,Area Agent [07]
60,18-May-92,"Business Operations Professional, Dept Business Mgr",92477,Chemical & Biomolecular Engr,Business Officer
30,21-Jan-15,"IT Applications Professional, Programmer Analyst",92638,Enterprise Application Svcs,IT Analyst/Programmer II
48,5-Mar-14,Associate Professor,163344,Ag & Resource Economics,"Assoc Prof, Univ Fac Scholar"
45,28-Jun-10,Professor,175251,Electrical & Computer Engr.,"Professor, Univ Fac Scholar"
39,24-Jul-23,"Human Resources Professional, Employment Specialist",70000,UHR Talent Acquisition and Emp,Human Resources Consultant
44,30-Jun-23,Institutional Policy / Compliance Professional,114400,Friday Institute,Director
55,1-May-96,"IT Systems Support Professional, Systems Programmer Sr.",125101,Shared Services,Systems Programmer/Specialist
29,1-Jul-20,"Extension / Engagement / Public Service Professional, Agricultural",79438,Future Farmers of America,Extension Assoc
29,27-Feb-23,Animal Care Technician,48880,CVM Teaching Hospital,Medical Support Tech - Shift
58,2-Mar-20,"Human Resources Professional, Employment Specialist",72800,Executive Search Services,Human Resources Consultant
26,27-Nov-23,Research Asst/Technician/Technologist,40000,Entomology & Plant Pathology,Research Technician-Nonexempt
69,1-Jul-03,Professor,172547,Psychology,Professor
59,21-May-03,Professor,194988,Accounting-Poole COM,Professor
41,1-Sep-05,Professor,124899,"Textile Engineering, Chemistry","Professor, Univ Fac Scholar"
41,1-Jun-06,Skilled Craft Worker,62668,BM&O-Centennial Campus,Facilities Maint Tech - Mechan
41,8-Feb-16,Extension / Engagement / Public Service Professional,55137,West District - Transylvania,"Ext.County Dir. [01,05,17]"
54,1-Jan-92,Field Faculty AC,110332,County Program Operations,District Extension Director
26,4-Aug-21,Administrative Assistant,45209,PCOM OUP,Administrative Support Assoc
61,1-Jun-20,Extension / Engagement / Public Service Professional,144238,BTEC-Biomfg Training Ed Ctr,"Program Manager, AIM-Bio"
50,16-Aug-99,Field Faculty AC,68756,West District- Rutherford,"Ext.County Dir. [01,17,05]"
25,24-May-21,Department Assistant,41000,Academic Success Center,University Program Associate
49,3-Jan-11,Department Assistant,52744,CALS Diversity Programs,CALS ODI Dept Prog Admin Man
63,10-Jul-06,Professor,129653,Horticultural Science,Professor
50,29-Jun-05,"IT Client Support Professional, Specialist",120224,Technology Support Services,Information Technology Mgr
36,1-Aug-23,Extension / Engagement / Public Service Professional,49000,North Central District- Randol,Asst Extension Agent [DS]
60,14-Jun-22,Motor Vehicle Operator,38159,Dining and Catering Operations,Support Services Assoc - Shift
24,13-Sep-19,"Research Professional, Life Sciences, Research Assistant",53820,Integrated Pest Mgmt-Research,Research Asst
35,24-Jun-19,"Business Operations Professional, Dept Business Mgr",77033,College of Design,Business Officer
33,1-Jul-23,Assistant Professor,95000,Entomology & Plant Pathology,Asst Professor
32,5-Jul-23,Administrative Assistant,43000,Procurement Services,Administrative Support Spec
52,3-Jan-19,Administrative Assistant,38750,BM&O-Central Shops,Administrative Support Assoc
52,7-Oct-02,"Librarian AC, Other",74849,Libraries,Librarian
41,29-Sep-01,Data Reporting Specialist,63995,Campus Health,University Program Specialist
31,24-Jun-16,Student Housing Professional,52849,Residence Life,Community Director
40,1-May-08,"Accounting Professional, Assistant Comptroller",152916,University Controller,"Director, Financial Reporting"
24,31-Mar-23,Research Asst/Technician/Technologist,41860,Central Crops Research Station,Research Technician-Nonexempt
38,1-Jul-16,Assistant Professor,71318,ELPHD,Teaching Asst Professor
29,9-Apr-18,Research Asst/Technician/Technologist,53040,Nonwovens Institute,Research Specialist-Nonexempt
55,5-Aug-21,Human Resources Professional,62400,Engineering Dean's Office/Admn,Human Resources Specialist
62,1-Apr-03,Professor,121851,Electrical & Computer Engr.,Director
54,3-Oct-05,"Development / Fundraising Professional, Planned Giving",83200,University Development,Assoc Dir of Gift Planning
22,23-May-22,Communications Specialist,44778,Urban Affairs & Community Serv,Public Comm Specialist
58,15-Aug-10,Lecturer,77453,Performing Arts and Technology,Senior Lecturer
57,22-Aug-03,Associate Professor,113471,Ag & Resource Economics,Associate Extension Professor
40,16-Aug-10,Student Services Coordinator,51789,Computer Science-engr,Administrative Support Spec
60,18-Apr-05,Carpenter (Journeyman),55186,G&BS-Trade Shops,Facilities Maint Tech - Bldg T
50,12-Feb-01,Library Assistant,45720,Libraries,University Library Technician
48,30-May-23,Department Assistant,45760,Ctr for Env Farming Sys (CEFS),University Program Associate
42,16-Apr-19,"Laboratory Professional, Life Sciences, Lab Coordinator",59498,Biological Sciences,Laboratory Manager
28,14-May-15,Research Asst/Technician/Technologist,52417,Mountain Horticultural Crops R,Research Specialist-Nonexempt
37,1-Mar-12,"Research Professional, Physical Sciences, Research Scholar",114447,NC Inst of Climate Studies,Research Scholar
73,1-Aug-77,"Chief Administrator, Major Center/Institute AD",141932,Urban Affairs & Community Serv,Social/Clinical Research Execu
63,16-Aug-92,Professor,194988,Accounting-Poole COM,Professor
24,8-May-23,Research Asst/Technician/Technologist,40250,Mountain Horticultural Crops R,Research Technician-Nonexempt
37,8-Nov-21,Custodian / Housekeeper,38714,Mtn Hort Crops Research & Exte,Building Environmental Tech'n
65,17-Aug-98,Accounting Assistant,65149,CHASS Research & Engagement,Accounting Technician
33,1-Jul-23,Assistant Professor,102000,Mechanical & Aerospace Engr,Asst Professor
68,16-Aug-90,Professor,109200,World Languages and Cultures,Professor
24,15-May-23,Communications Specialist,54080,University Communications,University Program Specialist
51,1-Jul-03,Professor,279449,Accounting-Poole COM,Professor
62,1-Nov-94,Field Faculty AC,74583,West District - Macon,"Ext.County Dir. [01,13]"
57,1-Jun-02,Professor,196100,Dept Molecular Biomedical Scie,Professor
37,22-Feb-16,Student Affairs / Student Services Professional,70666,Student Conduct,Assoc Director
75,1-Jul-82,Professor,203300,Dept of Clinical Sciences,Professor
66,2-Feb-15,Boilermaker,53669,U&E-Central Utility Plant - Zo,Utilities Plant Operator-Shift
47,9-May-22,"IT Client Support Professional, Help Desk Mgr",126649,Technology Support Services,IT Manager II
55,14-Nov-14,Service / Maintenance Supervisor,70802,NC State Bookstores,Support Services Supervisor
63,16-Aug-94,Professor,280088,Materials Science &Engineering,Head
32,13-Nov-23,"Extension / Engagement / Public Service Professional, Agricultural",45000,Eastern 4H Envir Ed Conference,Extension Asst
31,13-Feb-23,"Research Professional, Life Sciences, Research Assistant",49920,Applied Ecology,Research Asst
42,1-Nov-11,Functional Paraprofessional,66609,Alumni Engagement,University Program Specialist
29,24-Jun-19,Administrative Assistant,38480,Athletics-Internal/External Op,Administrative Support Spec
40,22-Jul-13,Student Affairs / Student Services Professional,60362,NCSU Entrepreneurship Program,Program Coordinator
27,16-Jun-22,Mason (Journeyman),44644,G&BS-Landscape Construction Sv,Facilities Maint Tech - Bldg T
58,26-Nov-18,"IT Client Support Professional, Help Desk",67600,Technology Support Services,Technology Support Specialist
28,18-Sep-23,Extension / Engagement / Public Service Professional,46500,Northeast District - Edgecombe,Asst Area Agent [DS]
68,1-Mar-02,Administrative / Office / Clerical Lead,50600,Northeast District - Northampt,COSS Administrative Assistant
30,10-Oct-22,Administrative Assistant,43826,G&BS-Trade Shops,Administrative Support Spec
30,9-Mar-20,Veterinary Technician,51487,CVM Teaching Hospital,Medical Support Tech - Shift
54,31-Oct-23,Licensed Practical Nurse,43000,Campus Health,Medical/Nursing Assistant
26,5-Aug-22,"Administrative / Office / Clerical Support Staff, Other",41600,UHR Service Center,Administrative Support Spec
38,12-Sep-16,"IT Client Support Professional, Specialist",74618,Libraries,IT System Support Professional
62,1-Nov-95,"Research Professional, Physical Sciences,  Senior Research Scholar",88390,Physics,Senior Research Scholar
59,11-Jan-99,"Business Operations Professional, Dept Business Mgr",93650,Textiles-Dean's Office,Business Officer
38,6-May-13,Assistant Professor,140400,Dept Molecular Biomedical Scie,Asst Clinical Professor-Anesth
48,3-Aug-15,"Nursing Professional, Nurse Practitioner",80337,Campus Health,Nurse Practitioner
56,3-Oct-22,Administrative Assistant,44132,Office of Prof Development,Administrative Support Spec
37,12-Nov-14,Extension / Engagement / Public Service Professional,56803,Northeast District - Hyde,Assoc Extension Agent [03]
47,15-May-02,Executive Assistant,52176,Football,Executive Assistant
42,4-Nov-13,Skilled Craft / Trades Foreman / Lead,70676,G&BS-Trade Shops,Facilities Maint Supervisor
24,27-Jul-21,Research Asst/Technician/Technologist,49514,Crop & Soil Sciences,Research Specialist-Nonexempt
47,2-Mar-07,"Research Professional, Life Sciences, Research Associate",66199,Crop & Soil Sciences,Research Assoc
53,1-Mar-01,Administrative Assistant,54142,"Food,Bioprocess & Nutrition Sc",Administrative Support Special
38,20-Aug-07,"Extension / Engagement / Public Service Professional, Agricultural",65810,4-H Youth Dev & Fam & Cons Sci,Extension Asst
32,7-Sep-18,Accounting Assistant,54896,Materials Support,Business Services Coordinator
44,13-Feb-15,Veterinarian AD,104000,CVM Teaching Hospital,Clinical Veterinary Instructor
44,12-Oct-15,"IT Systems Support Professional, Systems Administrator",111261,Engineering-computer Fees,IT System Administrator III
44,22-Feb-21,Nursing Technical/Paraprofessional,68346,Campus Health,Professional Nurse
44,2-Oct-17,Administrative / Office / Clerical Lead,43849,Southeast District- Robeson,COSS Administrative Assistant
55,5-May-99,"Extension / Engagement / Public Service Professional, Agricultural",104256,Agricultural & Human Sciences,Extension Assoc
61,2-Feb-09,Field Faculty AC,87654,Southeast District - Johnston,Extension Agent [07]
37,18-Nov-09,Business Systems & Procedures Professional,91520,UHR-Info Mgmt & Analytics,Business Systems Manager
42,18-Jan-22,"Research Professional, Social Sciences,  Senior Research Scholar",104000,Institute For Trans Research &,Senior Research Scholar
42,23-Oct-19,"Development / Fundraising Professional, Principal Gifts",71042,Principal Gifts,Assoc Director
43,13-Sep-22,General Maintenance Lead/Supervisor,42000,Dining and Catering Operations,Support Services Super - Shift
52,1-Dec-00,"Alumni Relations Professional, Officer Sr.",137510,Agriculture Related Foundation,Exe Dir-Alumni&External Relati
38,11-Sep-17,Communications Specialist,70639,Friday Institute,Public Comm Specialist
35,14-Jun-21,Student Affairs / Student Services Professional,71715,Wellness and Recreation,Asst Director
38,1-Feb-13,Extension / Engagement / Public Service Professional,48984,Southeast District - Craven,Asst Extension Agent [03]
68,1-Feb-21,Administrative Assistant,55973,College of Natural Resources,University Program Associate
38,3-Jan-22,Assistant Professor,139932,Dept Molecular Biomedical Scie,Asst Professor
46,3-Jul-00,Assistant/Associate Coach-Track and Field,53040,Track/XC - Men & Women,Asst Coach / Operations
43,1-Jul-20,Assistant Professor,56080,World Languages and Cultures,Asst Teaching Professor
65,1-Aug-16,"Business Operations Professional, Dept Business Mgr Sr.",101920,IES Operations,Business Manager
42,1-Aug-22,HR Coordinator,54080,Biological Sciences,Human Resources Specialist
68,7-May-14,Custodian / Housekeeper,34423,Housekeeping Svcs-Reg2-Res Hal,Building Environmental Tech'n
41,14-Mar-22,Trades Helper,50000,BM&O-Centennial Campus,Facilities Maint Tech - Mechan
43,3-Jan-23,Student Counseling / Student Health Professional AD,85280,Counseling Services,Asst Director
51,10-Nov-03,Physical Therapist,100929,Campus Health,Physical Therapist
32,30-Mar-22,Veterinary Technician,45240,CVM Teaching Hospital,Medical Support Tech - Shift
52,26-May-15,Department Assistant,72800,Research,University Program Specialist
24,22-Aug-18,Administrative Assistant,41600,Electrical & Computer Engr.,Administrative Support Assoc
57,12-Dec-17,Chief Campus Major Gifts Administrator,285246,University Development,AVC - Univ Development
55,1-Jul-21,Lecturer,91494,Business Management-Poole COM,Lecturer
44,27-May-00,IT Technical Support/Paraprofessional,58562,DELTA,Technology Support Technician
29,15-Jan-16,Technology Transfer Professional,72119,Ofc of Research Commercializat,Specialist
45,19-Jun-00,Field Faculty AC,71454,South Central District- Alexan,"Ext.County Dir. [01,09,17]]"
51,24-Aug-09,Service / Maintenance Supervisor,88734,Dining and Catering Operations,Food Service Manager
40,30-Jun-15,Associate Professor,125840,Biomedical Program - ENG,"Assoc Professor, Univ Fac Scho"
32,4-Jan-16,Extension / Engagement / Public Service Professional,61741,Northeast District - Camden,"County Ext Director [01,07]"
67,16-Sep-96,Extension / Engagement / Public Service Professional,72398,South Central District - Hoke,Extension Agent [03]
26,3-Jan-23,"Academic Services Professional, Support Center Coordinator",50000,Acad Sup Prog For Stu Athl,Coordinator
54,13-Oct-22,Accounting Assistant,48100,NC Clean Energy Technology Ctr,Accounting Technician
25,9-Aug-22,Administrative Assistant,44132,Office of Prof Development,Administrative Support Spec
62,25-Jul-06,Skilled Craft Worker,42837,BM&O-Centennial Campus,Facilities Maint Tech - Mechan
82,1-Jul-97,Professor,224889,Biochemistry,Professor
38,16-Aug-08,Assistant Professor,84336,Mathematics,Asst Teaching Professor
57,16-Aug-89,"Extension / Engagement / Public Service Professional, Industrial",108221,IES Operations,Director
39,13-Aug-05,"Finance / Budget Professional, Budget Mgr",93600,Athletics - Administration,Business Manager II
55,1-Jul-15,Associate Professor,59520,World Languages and Cultures,Teaching Assoc Professor
42,24-Nov-01,Field Faculty AC,68398,North Central District - Perso,Area Agent [04]
48,4-Nov-19,Administrative Assistant,50780,Ofc of Research & Innovation,Administrative Support Special
67,16-Aug-92,Professor,126738,Physics,Professor
43,17-Aug-15,Lecturer,36295,Performing Arts and Technology,Lecturer
62,1-Aug-86,General Maintenance Lead/Supervisor,45760,Athletics-Camp Equip-Weight Rm,Support Services Associate
27,1-Feb-23,Department Assistant,49920,Ctr for Human Health & the Env,University Program Specialist
23,1-Sep-23,Functional Paraprofessional,35100,Southeast District - Onslow,Program Assistant [12]
28,20-Dec-21,Student Affairs / Student Services Professional,48438,Wellness and Recreation,Coordinator
54,4-Sep-01,Bursar,140758,University Cashier's Office,Dir-University Cashier
43,18-Sep-21,Food Prep Worker,33584,Dining and Catering Operations,Food Service Technician-Shift
79,1-Jan-09,Research / Sponsored Projects Development Professional,281278,NC Inst of Climate Studies,Director
34,6-Apr-20,"Development / Fundraising Professional, Major Gifts",94640,University Development,Dir-Spec Projects & Fundraisin
40,1-Dec-11,Communications Specialist,45897,Urban Affairs & Community Serv,Public Comm Specialist
30,5-Dec-22,Student Affairs / Student Services Professional,67158,Prevention Services,Coordinator
55,7-Aug-00,Extension / Engagement / Public Service Professional,77754,Urban Affairs & Community Serv,Educational Consultant
23,14-Aug-23,Communications Specialist,47473,University Communications,Public Comm Specialist
38,27-Apr-07,"Laboratory Professional, Ag Research Operations",60783,Prestage Poultry Science,Research Operation Manager-Exe
29,1-Apr-21,"Laboratory Professional, Physical Sciences, Lab Coordinator",88522,BTEC-Biomfg Training Ed Ctr,BTEC Scientist
50,9-Oct-18,"Extension / Engagement / Public Service Professional, Agricultural",61180,Ctr for Env Farming Sys (CEFS),Project Coordinator
60,19-Feb-08,Housekeeping Lead/Supervisor,59339,Housekeeping Svcs-Reg2-Res Hal,Building Environmental Spvsr
59,16-Aug-02,Business Operations Professional,68071,Engineering Dean's Office/Admn,University Program Specialist
64,19-Dec-10,General Maintenance Worker,37528,Housekeeping Svcs-Reg3,Building Environmental Technic
45,19-Jan-10,Administrative Assistant,50235,Crop & Soil Sciences,Administrative Support Spec
62,21-Sep-22,"Environmental Safety / Risk Management Professional, Specialist",85800,EHPS - Env Health & Safety,EHS Professional
41,25-Nov-13,Associate Professor,149198,Ag & Resource Economics,Assoc Professor
49,4-Mar-13,Instructional Design / Instructional Media Professional,85561,DELTA,Asst Director
36,11-Jun-15,Academic Services Professional,64480,Global Initiatives-PCOM,Assoc Director
41,29-Nov-07,Custodian / Housekeeper,36488,Housekeeping Svcs-Reg2,Building Enviro Tech'n - Shift
52,1-Dec-98,Accounting Assistant,60320,CALS Business Office,Travel Specialist
56,18-Oct-21,Service / Maintenance Supervisor,71042,Dining and Catering Operations,Food Service Manager
39,25-Jul-16,Lecturer,52625,English,Senior Lecturer
23,21-May-21,Research Asst/Technician/Technologist,52000,NC Food Innovation Lab,Research Specialist-Nonexempt
63,29-Mar-19,"Development / Fundraising Professional, Major Gifts Sr.",111368,Vet Med Foundation,Director of Philanthropy I
47,5-Mar-09,Associate Professor,116446,Agricultural & Human Sciences,Assoc Professor
41,1-Dec-16,Associate Professor,127367,Biomedical Program - ENG,"Assoc Professor, Univ Fac Scho"
47,26-Jul-10,Deputy Chief Budget Officer,208000,Budget Office,Director
56,1-Mar-05,Administrative / Office / Clerical Lead,47816,North Central District- Davids,COSS Administrative Assistant
31,16-Aug-14,"Research Professional, Social Sciences,  Research Scholar",133224,Lab for Analytic Sciences,Research Scholar
57,1-Jul-98,Associate Professor,105318,Public & International Affairs,Assoc Professor
47,18-Jan-22,"Student Counseling / Student Health Professional AD, Counselor",86112,Counseling Services,Asst Director
59,18-Mar-02,Professor,114528,Plant and Microbial Biology,Professor
44,1-Jun-15,Extension / Engagement / Public Service Professional,90812,NC Clean Energy Technology Ctr,Program Director
54,11-Jul-16,"Chief Business Affairs Officer, College/Division",168813,Univ Adv Business Office,AVC-Fin&Adm Advancement
26,11-Jan-16,"IT Applications Professional, Programmer Analyst",76440,EMAS-Enrollment Mgt & Services,IT Business Systems Analyst I
50,1-Feb-18,Functional Paraprofessional,36586,West District - McDowell,Program Assistant [04]
62,1-Apr-87,"IT Applications Professional, Project Mgr",170462,Enterprise Application Svcs,IT Director
46,2-Sep-21,Custodian / Housekeeper,33584,Housekeeping Svcs-Reg2-Res Hal,Building Environmental Technic
41,23-Oct-18,Grounds / Landscape Worker,37000,G&BS-Grounds,Horticultural Specialist
50,1-Dec-17,Associate Professor,132397,For & Envir Res Acad Research,Assoc Prof of the Practice
28,7-Mar-22,"IT Security Professional, Analyst/Engineer",81624,Technology Support Services,IT Security Professional I
47,7-Jun-22,"Business Operations Professional, Dept Business Mgr",60320,CALS Business Office,CBO Admin Programs Manager
39,6-Jun-13,Associate Professor,129276,Mechanical & Aerospace Engr,"Assoc Prof, Univ Fac Scholar"
52,2-Jan-20,Medical Assistant,44720,Campus Health,Medical/Nursing Assistant
54,17-Jan-17,Skilled Craft Worker,50248,Transportation,Facilities Maint Tech - Mechan
47,9-Jul-18,Sponsored Contracts / Grants Administration Professional,114400,Lab for Analytic Sciences,Program Manager
63,1-May-82,Accounting Assistant,35085,Textiles-Dean's Office,Accounting Technician
50,1-Jul-18,Associate Professor,148813,Dept Molecular Biomedical Scie,Assoc Professor
56,1-Jul-05,Professor,126174,Biological Sciences,Professor
54,6-Aug-07,"Lead HR Officer, College/ Division",133221,Acad Stu Aff-Business Adm,"AVC-HR,Student & Academic Affa"
46,13-Sep-21,Veterinary Technician,46285,CVM Teaching Hospital,Medical Support Tech - Shift
54,1-Jul-01,Professor,154189,Applied Ecology,Professor
57,22-Sep-14,"Development / Fundraising Professional, College",184805,College Of Veterinary Medicine,Assistant Dean of Philanthropy
65,1-Jan-89,"Dean, Business",386158,Dean's Office-Poole COM,Dean - Management
34,15-Oct-12,"IT Client Support Professional, Specialist",95000,CALS IT,Technology Support Specialist
30,11-Jul-16,Assistant Professor,81806,Engineering Online,Asst Teaching Professor
60,1-Jul-99,Professor,143822,Mechanical & Aerospace Engr,Professor
36,26-May-15,Veterinary Technician,66400,CVM Teaching Hospital,Medical Support Tech - Shift
47,6-Mar-01,Student Admissions / Recruitment Professional,97764,CALS - Academic Programs,Director
22,1-May-23,Functional Paraprofessional,35360,Southeast District - New Hanov,Program Assistant [13]
47,23-Aug-08,Assistant Professor,103865,"Textile Engineering, Chemistry",Asst Professor
63,25-Aug-03,IT (Information Technology) Professional,95013,Communication Technologies,IT Manager - Tech Support
64,5-Jan-15,Administrative Assistant,45529,Sandhills Research Station,Administrative Support Assoc
59,1-Jan-17,Academic Services Professional,77523,Engineering-Academic Affairs,Asst Director
61,16-Aug-97,"IT Systems Support Professional, Research Computer Specialist",123786,Research Computing,HPC Systems Engineer
62,13-Feb-98,Professor,135744,Horticultural Science,Asst Head
23,2-Oct-23,Veterinary Technician,44000,CVM Teaching Hospital,Medical Support Tech - Shift
53,1-Jul-99,"Laboratory Professional, Physical Sciences, Lab Coordinator",76960,BTEC-Biomfg Training Ed Ctr,BTEC Scientist
60,16-Aug-98,Associate Professor,91730,Graphic & Industrial Design,Assoc Professor
45,10-Oct-12,"IT Client Support Professional, Specialist",68170,DELTA,Broadcast & Emerg'g Media Spec
46,16-Aug-14,Instructional Design / Instructional Media Professional,66040,DELTA,Project Manager
31,4-Aug-21,"Academic Advising Professional, Advisor/Coordinator",55029,Biological Sciences,Academic Advisor
59,15-Apr-00,Professor,133908,Chemical & Biomolecular Engr,Teaching Professor
41,15-Dec-23,"Facilities Design / Construction Professional, Facility Planner",98000,University Architect's Office,Engineer
60,1-Aug-91,Lecturer,103746,Career Development Center,Director
58,11-Sep-09,Service / Maintenance Supervisor,63824,Dining and Catering Operations,Food Service Manager
64,31-Oct-07,Research Asst/Technician/Technologist,47320,Prestage Poultry Science,Research Technician-Nonexempt
54,1-Jul-14,Lecturer,52744,Health and Exercise Studies,Lecturer
62,1-Apr-13,"Research Professional, Agricultural / Food",62344,"Food,Bioprocess & Nutrition Sc",Research Specialist-Exempt
31,28-May-13,Extension / Engagement / Public Service Professional,63104,Urban Affairs & Community Serv,Educational Consultant
61,17-Sep-14,Field Faculty AC,53818,North Central District - Orang,"Asst Extension Agent [17,09]"
60,15-Apr-19,Business Operations Professional,66869,Biochemistry - METRIC,Business Officer II
29,28-Aug-15,Audiovisual Technical/Paraprofessional,43056,McKimmon Conf & Training Ctr,Multi-Media Technician - Shift
57,23-Sep-96,Administrative / Office / Clerical Lead,48522,Northeast District - Chowan,COSS Administrative Assistant
36,3-Mar-23,Custodian / Housekeeper,33099,Housekeeping Svcs-Reg2-Res Hal,Building Environmental Technic
64,24-Jan-94,Housekeeping Lead/Supervisor,60085,Housekeeping Svcs-Reg3,Building Environmental Supervi
34,7-Feb-18,Department Assistant,48821,Residential Learning Academic,University Program Associate
38,15-Jun-14,Associate Professor,98777,"Parks, Recreation & Tourism Mg",Assoc Professor
61,30-Mar-16,Accounting Assistant,55973,CALS Business Office,Accounting Approver
40,21-Sep-07,"Development / Fundraising Professional, Major Gifts Sr.",104171,University Development,"Dir, Philanthropy I"
61,1-Nov-85,"IT Applications Professional, Programmer Analyst",92820,Crop & Soil Sciences,Bus & Tech App Analyst
66,7-Feb-11,Facilities Management / Maintenance Professional,103280,BM&O-CBC,Engineering/Architectual Super
52,1-Apr-16,Field Faculty AC,68733,Northeast District - Halifax,"Ext County Dir [01,07]"
53,15-Aug-97,Professor,125208,Biological And Agricultural En,Professor
32,9-May-23,Assistant Professor,225000,Accounting-Poole COM,"Asst Professor, Accounting"
44,16-May-18,"Laboratory Professional, Physical Sciences, Lab Coordinator",67782,BTEC-Biomfg Training Ed Ctr,Laboratory Manager
32,17-Jul-23,"Student Counseling / Student Health Professional AD, Counselor",65000,Counseling Services,Counselor
36,7-May-07,Business Operations Professional,68596,Athletics - Administration,Business Officer II
26,4-Mar-20,Administrative Assistant,37902,Southeast District - Jones,COSS Administrative Assistant
60,2-Feb-04,Administrative / Office / Clerical Lead,45657,West District- Burke,COSS Administrative Assistant
52,1-Jul-14,Professor,104284,English,Professor
45,10-Oct-18,Grounds / Landscape Worker,51366,G&BS-Grounds,Horticultural Specialist
43,1-Aug-03,Field Faculty AC,63224,Northeast District - Gates,Assoc Area Agent [21]
41,1-Sep-06,Veterinary Technician,65238,CVM Teaching Hospital,Medical Support Tech - Shift
52,3-Mar-02,"IT Applications Professional, Programmer Analyst Sr.",120847,Enterprise Application Svcs,Bus & Tech App Specialist
45,3-Jan-11,"Librarian AC, Reference & Instruction",101421,Libraries,Librarian
44,13-Jul-15,Assistant Professor,142892,Dept of Clinical Sciences,Clinical Asst Professor
27,31-Jul-17,Police Officer,65129,EHPS - Police Dept,Master Police Officer I
54,19-Aug-13,"IT Systems Support Professional, Computer Operator Supervisor",91921,Shared Services,"Mgr,Automated Workload Service"
57,30-Aug-02,"IT Applications Professional, Programmer Analyst Sr.",127285,Enterprise Application Svcs,Bus & Tech App Specialist
35,1-Feb-23,Extension / Engagement / Public Service Professional,43316,Northeast District - Halifax,Asst Area Agent [13]
70,1-Oct-86,Professor,201467,Applied Aquatic Ecology Center,Professor
41,10-Oct-11,"Research Assistants, Technicians, Technologists, Vet Science",48391,Dept Molecular Biomedical Scie,Research Technician-Nonexempt
49,1-Sep-12,"Chief Business Affairs Officer, College/Division",192400,Ofc of Research & Innovation,"AVC-Administration, Research"
65,1-Aug-07,Administrative / Office / Clerical Lead,42987,Northeast District - Hyde,COSS Administrative Assistant
41,4-Dec-23,Foodservice Lead/Supervisor,74996,Dining and Catering Operations,Food Service Manager
42,1-Feb-11,Extension / Engagement / Public Service Professional,57960,Northeast District - Pitt,Assoc Area Agent [17]
53,16-May-13,Sponsored Contracts / Grants Administration Professional,77474,Ofc of Research & Innovation,University Program Manager
43,21-May-07,Head Coach - Strength and Conditioning,477664,Football,Head Coach
46,22-Jan-14,Professor,127250,Psychology,"Professor, Univ. Faculty Schol"
39,16-Aug-07,Lecturer,60806,Agricultural Institute - Admin,Lecturer
23,29-Sep-19,Student Affairs / Student Services Professional,42640,Student Services Center,Student Services Specialist
26,8-Jan-18,Animal Care Technician,41324,Biological Resources Facility,Research Technician-Nonexempt
60,1-Feb-07,Extension / Engagement / Public Service Professional,73681,South Central District - Richm,"Ext County Dir [01,05,11]"
40,1-Feb-22,Extension / Engagement / Public Service Professional,37512,North Central District- Randol,COSS Administrative Assistant
44,2-Mar-07,"Extension / Engagement / Public Service Professional, Agricultural",65106,Betsy-jeff Penn 4-H Camp,Extension Asst
59,1-Dec-98,Accounting Assistant,52356,University Cashier's Office,University Program Associate
57,25-Aug-99,"IT Applications Professional, Programmer Analyst Sr.",97220,Enterprise Application Svcs,Bus & Tech App Specialist
38,29-Aug-11,Administrative Assistant,51304,Ofc of Research & Innovation,University Program Associate
45,9-Feb-15,Department Assistant,57667,Engineering Foundation,University Program Associate
58,29-Apr-13,Housekeeping Lead/Supervisor,59251,Housekeeping Svcs-Reg4,Building Environmental Supervi
48,1-Dec-98,"Laboratory Professional, Physical Sciences, Research Operations",54377,Mathematics,Teaching Technician
67,1-Dec-98,"Academic Advising Professional, Advisor/Coordinator",71712,Advising & Exploratory Studies,Asst Director
53,18-Nov-98,"Business Operations Professional, Dept Business Mgr",70460,Acad Stu Aff-Business Adm,Business Officer II
64,28-Mar-04,Custodian / Housekeeper,35463,Housekeeping Services-Reg1,Building Enviro Tech'n - Shift
46,13-Nov-23,"Research Professional, Biological Sciences",75000,Sciences-State Climate Office,Project Manager
